title,description,price
Однокомнатная со своим входом и двориком,, 160 € 
"Spre chirie, 1 cameră+living! Centru",, 350 € 
Chirie apartament in bloc de elită,, 400 € 
"Chirie, sect. Centru, 1 cameră+living, 450 euro!!!",, 450 € 
"Chirie , Grenoble cu 1 odaie !",, 270 € 
"Noaptea 350 lei, Ora 80 lei, Ziua 450 lei!!! Chirie!",, 450 MDL 
"Apartament cu o cameră, reparație euro, Telecentru, 350 € !",, 350 € 
Imobil de Lux - 1 cameră în chirie! str. L. Tolstoi,, 500 € 
Apartamentul 1 cameraTelecentru.Incalizirea Autonoma 210 €,, 210 € 
Se da in chirie de urgenta apartament mobilat cu odaie,, 100 € 
"Apartament cu 2 camere, reparație euro, Centru, 1000 € !",, 1 000 € 
"Se dă în chirie apartament cu o odaie, 40 m.p, sect.Centru, 400 €",, 400 € 
"Apartament cu 1 cameră, bloc nou, Râșcani, 300 € !",, 300 € 
Pe termen scurt-----..saptaminal..  camera mare in casa cotedj separat.,, Negociabil 
Apartament cu 2 camere la Riscanovca!!!!,, 300 € 
Сдаю 1-комнатная 143 серия центр,, 200 € 
Asa oferte se cauta  ap in casa cotedj si parcare.,, Negociabil 
"Centru !! 1 cameră tip studiou, euroreparație, 300 € !",, 300 € 
Chirie / arenda,, 325 € 
"Новострой,евроремонт,индивидуальная планировка с одной спальней и зоной отдыха. Длительный срок.",, 300 € 
Apartament cu toate comoditățile pentru orice perioadă!,, 200 € 
"Квартиры помесячно, посуточно, ночь.цены от 400 евро за месяц  от 500 лей за сутки от 500 лей ночь.",, 400 € 
"Apartament confortabil, o cameră, Centru, 450 € !",, 450 € 
"Apartament cu 1 camere, reparat, str. Albișoara, 300 € !",, 300 € 
Apartament in chirie str.Grenoble,, 300 € 
"Apartament de lux cu 2 camere, bloc nou, Botanica, 550 € !",, 550 € 
"Apartament cu o cameră, reparație euro, Ciocana 270 € !",, 270 € 
"Apartament cu o cameră, reparație euro, Botanica, 310 € !",, 310 € 
se da inchirie de la stapin pe termen indelungat,, 220 € 
"Spre închiriere! imobil lux, 500 euro, str. L. Tolstoi!",, 500 € 
"Garsoniera cu comoditati, Buiucani",, 140 € 
"Se da in chirie apartament 1 camera, Ciocana 210 €",, 210 € 
Предлагаем в аренду квартиру в центре,, 1 100 € 
Посуточно 1-комнатная квартира на Буюканах! Флакэра ул. Ион Крянгэ 72  сдаем 24/24,, 450 MDL 
"Chirie, Centru -  pe zi / noapte / ore",, Negociabil 
Exfactor-grup-Buiucani -3 odai -prima rata 16320€!!,, Negociabil 
Apartamente clasa premium de vânzare! Complex locativ pe str. Paris. Preț special! Reducere!,,
Buiucani  29.02.2020  Darea in exploatare !,,
"3 odai ,90m2 , 35900Euro",,
"LAGMAR – apartamente noi Centru, Buiucani, Râșcani de la 444 euro/m2",,
BERNARDAZZI RESIDENCE - DAT ÎN EXPLOATARE ! Apartamente PREMIUM.,,
Valea Trandafirilor - Art Urban Grup propune Oferte înteresante!!! Achitare în Rate!,,
28700 euro 2 odai 71 m2,,
URBANCONSTRUCT - TT Complex Rezidențial str. Trandafirilor 13/2.,,
"Complexul imobiliar ""Botanic Star 2""",,
"Complex Ghefest compania Varincom, de la 650 euro/m2.",,
"Однокомнатная квартира по лучшей цене 24900 евро от застройщика, красный кирпич, парк, Kaufland!",,
"Complex locativ ""ESTATE ART RESIDENCE"" strada Vorniceni, ESTATE INVEST COMPANY, de la 700 EUR/m2",,
VASIGUR GRUP - s. CENTRU și BUIUCANI din cărămidă roșie! Alege locuința care te caracterizează!,,
"Complex locativ ""Codru Residence"" 2 odai-45m2,3 odai-54m2! Super pret!",,
Chirie 1 camera,, 250 € 
"Chirie apartament cu 1 cameră în bloc nou, reparație euro, Centru 320 €",, 320 € 
Super apartament,, 300 € 
"Apartament cu o cameră, reparație euro, Centru, 390 € !",, 390 € 
"Chirie, Botanica, Decebal, 1 cameră, 300 euro!",, 300 € 
"Chirie! Basconslux! Centru, str. Lev Tolstoi, 1 odaie, 50 m2, euroreparație!",, 300 € 
"Chirie! str. Ion Creangă, Buiucani, 1 cameră. Euroreparație!",, 250 € 
Сдаётся 1ка в Новострое 250 евро.,, 250 € 
Se da in chirie apartament cu o camera in centru,, 2 000 MDL 
camera telecentru,, 150 € 
Новая 1 Комнатная В Urbanconstruct,, 360 € 
"Apartamente in chirie. Armeneasca 53, et. 4, of. 8",, Negociabil 
"Se dă spre chirie! 1 cameră+living, 450 euro, str. V. Pârcălab",, 450 € 
"Chirie, 1 cameră, reparație euro, Botanica, 350 € !",, 350 € 
230€,, 230 € 
Chiria apartamentelor de la 400euro pe luna sau de la 500 lei pe zi.500lei noaptea.lucram non stop.,, 400 € 
Aici sunt--  apartament cu 1sau 2 camere ..pe  orice  perioadă,, Negociabil 
"Ofer chire apartament cu o odaie. Mobilă, tehnică, intr-un loc cu infrastructură dezvoltată.",, 170 € 
Apartament  în casă particulară separată care merită de văzut și arendat!,, 200 € 
"Chirie apartament, euroreparație, Centru, 250 € !",, 250 € 
Apartament în chirie,, 330 € 
Chirie. Centru. Str. Alexandr Pușkin. 1 cameră. 300 euro,, 300 € 
"Chirie,1 cameră, bloc nou, Centru, 270 € !",, 270 € 
"Chirie, str. N. Testemițanu, Dansicons, 1 cameră, 320 euro!",, 320 € 
Chirie  Apartament cu 1 cameră Centru str. Gheorghe Cașu 300 €,, 300 € 
Chirie  Apartament cu 1 cameră Centru str. Nicolae Testemitanu 300 €,, 300 € 
"Apartament în chirie, str. Pușkin, 400 €",, 400 € 
"Apartament  -pe ore 97 lei/h,  -noaptea de la ora 18.00+ 3h gratis pina la 9.00 la 377 lei,  -zilnic",, 257 € 
Se da in chirie apartament cu un dormitor.,, 250 € 
Se dă în chirie apartament!,, 4 600 MDL 
"Apartament cu o camera cu toate conditie la 150 euro ,pe termin indeterminat.",, 150 € 
"Chirie bloc nou botanica.autonoma,linga Linella",, 220 € 
"chirie in inima orashului cu  un dizain individual, casa de elita !",, 500 € 
"Chirie. Centru. str. Lev Tolstoi, 1 cameră, 280 euro",, 280 € 
Dau in chirie apartament cu o odaie. Сдаю однокомнатную квартиру в аренду.,, 170 € 
"Chirie! Bloc Nou! Telecentru, str. M. Berezovschi, 1 cameră! Euroreparație!",, 250 € 
Малосемейка,, 1 200 MDL 
"1-комнатная квартира для семьи, находится в хорошем районе, чистая, после ремонта.",, 2 000 MDL 
Apartament cu o camera in centru,, 1 200 MDL 
Apartament in chirie Centru,, 1 500 MDL 
Малосемейка с хорошими условиями,, 1 700 MDL 
"Новострой.Евроремонт.Однокомнатную квартиру ул.Миорица около Линелла, 250 евро.",, 250 € 
"Chirie, Centru, Malldova, 1 cameră, 240 euro!",, 240 € 
Сдается 1 комнатная квартира  на ботанике бд. Дечебал 250€,, 250 € 
Se da in chirie apartament cu o camera in centru,, 2 000 MDL 
"Chirie! str. Tecuci, Centru, 1 cameră. Euroreparație!",, 300 € 
"Chirie! Bloc Nou! Centru, str. Lev Tolstoi, 1 cameră. Euroreparație!",, 280 € 
apartamen cu odaie .,, 1 500 MDL 
"Chirie, Botanica, Parcul Valea Farmecelor, 1 cameră, 230 euro!",, 230 € 
"Chirie bloc nou buiucani linga piata  Delifin ,autonoma",, 250 € 
Ofer in chirie o garsoniera in centru 1200 lei,, 1 200 MDL 
Vă prezentăm un apartament în chirie.,, 100 € 
Apartament cu o camera in stare buna se da in chirie,, 1 800 MDL 
"Apartament mega comod cu 1 cameră + living, str. T. Strișcă, 400 euro",, 400 € 
"Chirie! Centru, str. Nicolae Testemițeanu! Apartament modern, full mobilat, autonoma! 300 €",, 300 € 
Spre chirie apartament cu o cameră într-o locație foarte solicitată!,, 450 € 
Apartament 2 camere cu lodjie mare lîngă institutul oncologic!!!,, Negociabil 
Căsuță în chirie,, 155 € 
Apartament in chirie linga parcul Valea Trandafirilor.,, 330 € 
"Ciocana, 1 cameră, mobilat, 250 € !",, 250 € 
сдаю,, 250 € 
"Botanica, 1 cameră cu euroreparație, bloc nou, 280 €",, 280 € 
"Chirie, Centru, Eldorado Terra Viaduct, 1 cameră, 300 euro!",, 300 € 
"Chirie, Rîșcani, 1 cameră, 300 euro!",, 300 € 
"Chirie, Buiucani, Alba Iulia, 1 cameră, 270 euro!",, 270 € 
"Chirie! Botanica. Bloc nou, 1 camera, et.2 din 9, euroreparatie, autonoma.200€",, 200 € 
Apartament Testimeteanu bloc nou chirie,, 250 € 
"Apartament cu 1 cameră, str. Trandafirilor, 220 € !",, 220 € 
"Apartament cu 1 cameră, reparație euro, str. Grenoble 250 €",, 250 € 
"Bloc nou ! Centru, o cameră cu euroreparație, 300 € !",, 300 € 
Bloc de elită - fiți printre cei mai buni !,, 1 000 € 
Apartament spre chirie bine iluminat pe tot parcursul zilei,, 450 € 
Se oferă spre chirie apartament cu 1 odaie și living în zona Centru,, 400 € 
Chirie 1-camere 230 euro str. Alexandru Vlahuță 38,, 230 € 
"Chirie apartament cu 1 cameră, str. Cuza Vodă, 350 euro",, 350 € 
In chirie pe 1-2-3 luni. Bloc nou la Botanica,, 300 € 
"Apartament  -pe ore 97 lei/h,  -noaptea de la ora 18.00+ 3h gratis pina la 9.00 la 377 lei,  -zilnic",, 77 € 
Chirie 1-camera 150 euro str. Studenților 3/6,, 150 € 
"Apartament  -pe ore 97 lei/h,  -noaptea de la ora 18.00+ 3h gratis pina la 9.00 la 377 lei,  -zilnic",, 257 € 
"chirie bloc nou buiucani dormitor,autonoma,conditioner",, 260 € 
Buiucani 55 m2 Proprietar!,, 39 700 € 
"Chirie apartament 1 odaie,casa noua,Botanica",, 210 € 
Apartament cu 2 odai -  2-4 persoane,, 800 MDL 
Apartament panoramicstr.Columna,, 55 € 
"LAGMAR – apartamente noi Centru, Buiucani, Râșcani de la 444 euro/m2",,
URBANCONSTRUCT - TT Complex Rezidențial str. Trandafirilor 13/2.,,
"Однокомнатная квартира по лучшей цене 24900 евро от застройщика, красный кирпич, парк, Kaufland!",,
"Complex locativ ""Codru Residence"" 2 odai-45m2,3 odai-54m2! Super pret!",,
Valea Trandafirilor - Art Urban Grup propune Oferte înteresante!!! Achitare în Rate!,,
Apartamente clasa premium de vânzare! Complex locativ pe str. Paris. Preț special! Reducere!,,
"Complexul imobiliar ""Botanic Star 2""",,
"Complex Ghefest compania Varincom, de la 650 euro/m2.",,
Buiucani  29.02.2020  Darea in exploatare !,,
"3 odai ,90m2 , 35900Euro",,
28700 euro 2 odai 71 m2,,
"Complex locativ ""ESTATE ART RESIDENCE"" strada Vorniceni, ESTATE INVEST COMPANY, de la 700 EUR/m2",,
VASIGUR GRUP - s. CENTRU și BUIUCANI din cărămidă roșie! Alege locuința care te caracterizează!,,
BERNARDAZZI RESIDENCE - DAT ÎN EXPLOATARE ! Apartamente PREMIUM.,,
Chirie 1-camera 240 euro str. Nicolae Testemițeanu 3/18,, 240 € 
Chirie 1_camera 200 euro str. Armenească 30,, 200 € 
Chirie 1_camera 250 euro str. Nicolae Testemițeanu 21/1,, 250 € 
se da în chirie apartament,, 180 € 
se da in chrie o camera fara plata de a mai ingriji de un batrin,, Negociabil 
"Сдаю малосемейку со своими удобствами,можно с детьми.",, 700 MDL 
Срочно.Квартира после ремонта.,, 1 800 MDL 
Garsoniera cu mobila cu toate comoditati,, 700 MDL 
Caut urgent gazdash pe timp indelungat familia sau fete,, 1 200 MDL 
chirie buiucani bloc nou autonoma nu a locuit nimeni,, 250 € 
Apartament 1 camera Telecentru 250 €,, 250 € 
Сдается 1 комнатная квартира Ботаника Индепендецеи  200€,, 200 € 
Сдам 1-х комн. квартиру Ботаника.Автономное Отопление  230 €,, 230 € 
Ciocana!! Apartament cu 1 odaie str. Petru Zadnipru !!150€,, 150 € 
Сдается 1 комнатная квартира в центре 280 центр ул Толстой возле Гостиницы Манхэтн.,, 280 € 
"Se dă în chirie apartament cu 1 cameră! Bloc nou! 40 m2! Nivelul 8 din 10! Botanica, str. Grenoble",, 250 € 
Se da in chirie apartament cu o camera in centru,, 2 000 MDL 
Chirie  Apartament cu 1 camere Botanica str. Teilor 200 €,, 200 € 
Chirie  Apartament cu 1 cameră Botanica str. Trandafirilor 350 €,, 350 € 
Chirie  Apartament cu 1 cameră Centru str. Dumitru Cantemir 350 €,, 350 € 
Chirie  Apartament cu 1 cameră Centru str. Nicolae Testemitanu 300 €,, 300 € 
Chirie  Apartament cu 1 cameră Centru str. Nicolae Testemițanu 270 €,, 270 € 
Chirie  Apartament cu 1 cameră Centru str. Lev Tolstoi 370 €,, 370 € 
"Chirie, Apartament cu 1 odaie, Botanica str. Decebal, 400 €",, 400 € 
Chirie Apartament cu 1 cameră Centru str. Nicolae Testemițanu 260 €,, 260 € 
Apartament cu 1-odaie este toate conditiile bune,, 1 800 MDL 
Малосемейка с хорошими условиями,, 1 500 MDL 
"Уютная, светлая и просторная  после ремонта",, 1 500 MDL 
"Apartament in centru, cu toate comoditatile, mobila, reparatie, tehnica, net",, 1 800 MDL 
Chirie,, 330 € 
"Chirie! Bloc Nou! șos. Balcani, Buiucani, 1 cameră. Euroreparație!",, 260 € 
"Apartamente in chirie. Armeneasca 53, et. 4, of. 8",, Negociabil 
Apartament in chirie vis a vis de CIRC!!!,, 300 € 
"Apartament în bloc nou, Grenoble.",, 220 € 
"Apartament în chirie Centru, cu 1 cameră.",, 250 € 
"Vă oferim apartament pentru orice perioadă: Lună, zi, noapte, oră, săptămână.",, 220 € 
"Chirie apartament spațios, reparație euro, mobilat, 45 mp, bloc nou, Botanica, 250 euro!",, 250 € 
Apt 1 camera - centru bloc nou,, 270 € 
"Сдаётся! Очень хороший новострой,  качественный евро ремонт, мебель, вся техника.",, 280 € 
"Apartament modern în sectorul Centru, Lev Tolstoi!",, 450 € 
Apartament pe termen scurt!,, 300 € 
Dau în chirie Apartament pe termen lung. Nu este agenție,, 225 € 
"Сдаётся! Очень хороший новострой, дорогой, качественный евро ремонт, дорогая мебель, техника.",, 300 € 
Dau in chirie apartament cu o odaie  or.Durlesti (Centru),, 100 € 
Incalzire autonoma,, 229 € 
"chirie bloc nou ,dormitor si zona de odihna,garderob ,conditioner,nou nimeni nu a locuit",, 330 € 
"Super comod apartament în chirie! str. Decebal, 53 mp, 500 euro",, 500 € 
Сдам квартиру на длительное время.,, 220 € 
Сдаю однокомнатную 170 евро по месячно,, 170 € 
Apartament cu o camera in stare buna se da in chirie la persoane serioase mai cedam,, 100 € 
se da in chirie garsoniera,, 1 500 MDL 
Apartament cu o odaie,, 1 600 MDL 
Apartament cu o camera la ciocana 1600 lei,, 1 600 MDL 
1-комнатная квартира в хорошем состоянии,, 100 € 
"Chirie, Centru, 1 cameră, 300 euro!",, 300 € 
Сдаю.Оазис на Ботанике.Звоните.,, 450 € 
"Apartament Nou, 1 odaie, Chirie, Centru, 250€",, 250 € 
"Centru, str. Nicolae Testemițeanu. Apartament cu 1 camera bloc nou 230 euro",, 230 € 
"Centru, str. Armenească. Apartament cu 1 camera 200 euro",, 200 € 
Se da in chirie apartament cu o camera in centru,, 2 000 MDL 
"Centru, str. Nicolae Testemițeanu. Apartament cu 1 camera bloc nou 250 euro",, 250 € 
garsoniera la buiucani 1500 lei,, 1 500 MDL 
Garsoniera cu mobila cu toate comoditati,, 1 600 MDL 
"Apartament in centru, cu toate comoditatile, mobila, reparatie, tehnica, net",, 110 € 
Apartament cu o camera in stare buna se da in chirie sector centru,, 80 € 
"Chirie! Bloc Nou! str. N. Testemițeanu, Telecentru, 1 cameră. Euroreparație!",, 250 € 
"Apartament cu 1 cameră, reparație euro, Centru, str. Melestiu 300 €",, 300 € 
"Сдам 1-комнатная,43 кв/м. (без посредников). около рынка"" дельфин -200 евро",, 200 € 
"Apartament cu 1 cameră, reparație euro, Centru, 300 € !",, 300 € 
"Botanica, 1 cameră cu euroreparație, bloc nou, 270 €",, 270 € 
"Apartament cu 1 cameră, str. Vlaicu Pîrcălab, Centru, 450 € !",, 450 € 
"Chirie, 1 cameră, reparație euro, Centru, 230 € !",, 230 € 
"Centru !! 1 cameră, euroreparație, 300 € !",, 300 € 
"Apartament cu 1 camera, bloc nou, Râșcani, 300 € !",, 300 € 
"Apartament cu o cameră, Ismail, 230€ !",, 230 € 
"Apartament cu 1 cameră, bloc nou, reparație euro, str. Lev Tolstoi  300 €",, 300 € 
"Apartament cu 1 cameră, bloc nou, Centru, 260 € !",, 260 € 
"Centru !! apartament cu euroreparație, bloc nou, 400 € !",, 400 € 
Se da in chirie apartament cu o camera la pret de 2 000 lei pe luna plus 1000 gaj.pentru familie,, 2 000 € 
"Casa noua! Euro reparatie! Apartament cu odaie,sec.Telecentru str.T.Strisca linga  Linella.",, 240 € 
"Vânzare. Apartament cu 1 odaie+living! 46 mp, Sky House, str. Grenoble, 35900€",, 35 900 € 
"Albișoara exfactor! centru-asem, 2 camere-74m2",, 48 380 € 
"Chirie Centru, Maraton - zi / noapte / ore",, Negociabil 
2х комнатная чешка (Рышкановка),, 40 900 € 
"Complex locativ ""Codru Residence"" 2 odai-45m2,3 odai-54m2! Super pret!",,
URBANCONSTRUCT - TT Complex Rezidențial str. Trandafirilor 13/2.,,
"LAGMAR – apartamente noi Centru, Buiucani, Râșcani de la 444 euro/m2",,
"Complex locativ ""ESTATE ART RESIDENCE"" strada Vorniceni, ESTATE INVEST COMPANY, de la 700 EUR/m2",,
"Complex Ghefest compania Varincom, de la 650 euro/m2.",,
"Complexul imobiliar ""Botanic Star 2""",,
"Однокомнатная квартира по лучшей цене 24900 евро от застройщика, красный кирпич, парк, Kaufland!",,
BERNARDAZZI RESIDENCE - DAT ÎN EXPLOATARE ! Apartamente PREMIUM.,,
VASIGUR GRUP - s. CENTRU și BUIUCANI din cărămidă roșie! Alege locuința care te caracterizează!,,
Valea Trandafirilor - Art Urban Grup propune Oferte înteresante!!! Achitare în Rate!,,
"3 odai ,90m2 , 35900Euro",,
Apartamente clasa premium de vânzare! Complex locativ pe str. Paris. Preț special! Reducere!,,
28700 euro 2 odai 71 m2,,
Buiucani  29.02.2020  Darea in exploatare !,,
"Apartament 1camera, Buiucani,linga uzina Alfa,170,nu e agentie",, 170 € 
"Apartament în chirie, casa noua, etaj 4, str. Vasile Lupu(complex Astercon)-Direct de la Proprietar",, 240 € 
"Spre chirie apartament 1 cameră, sectorul Botanica, Grenoble, Bloc nou.",, 230 € 
Camera in camin cu comoditati in sectorul buiucani,, 1 200 MDL 
"Сдается 1-комнатная квартира. Парковая зона, тихий район.",, 1 200 MDL 
Срочно сдаю малосемейку 500 леев,, 500 MDL 
Apartament cu o odaie in bloc nou.,, 100 € 
"Dam in chirie apartament 1 cameră sectorul Telecetru, Miorița, Bloc nou",, 250 € 
"Chirie, Telecentru, 1 cameră, 230 euro!",, 230 € 
"Bloc nou ! 1 cameră, zonă dezvoltată, Centru, 350 € !",, 350 € 
"Chirie, sect. Botanica, Parcul Cuza Vodă, 1 cameră, 270 euro!",, 270 € 
Se da in chirie apartament cu 1 camera malina mica,, 230 € 
Dau in chirie apartament,, 2 000 MDL 
Сдам 1-комнатную квартиру с мебелью,, 1 600 MDL 
"Apartamentul cu o cameră este spațios, complet mobilat și utilat cu tehnică",, 1 600 MDL 
Cдаю хорошую 1-комнатную квартиру,, 1 800 MDL 
Сдаю квартиру на Ботанике Independentei 10/2 -140Э,, 140 € 
Сдаем однокомнатную квартиру!,, 230 € 
Однокомнатная квартира на долгий срок!,, 250 € 
"Chirie! Bloc Nou! str. N. Testemițeanu, Telecentru, 1 cameră. Euroreparație!",, 290 € 
"Centru, 1 dormitor + living, euroreparație, str. Melestiu 400 €",, 400 € 
"Centru !! 1 cameră, bloc nou, zonă dezvoltată, 450 € !",, 450 € 
"Apartament cu 1 cameră, bloc nou, Centru, 280 € !",, 280 € 
Oferim spre chirie apartament cu 1 odaie sec.Rîșcani str.Florilor!,, 300 € 
1 комн.квартира по ул.Индепенденцей 140 евро,, 140 € 
Chirie bdul Mircea cel Batrin,, 170 € 
"Chirie, Gh. Asachi, Fidesco, 1 cameră, 270 euro!",, 270 € 
"Chirie! Râșcani, str. Carierei, 1 cameră! Euroreparație!",, 280 € 
Chirie  Apartament cu 1 cameră Centru str. Nicolae Testemitanu 350 €,, 350 € 
Chirie  Apartament cu 1 cameră Centru str. Albisoara 240 €,, 240 € 
"Chirie  Apartament cu 1 cameră, Botanica str. Trandafirilor 350 €",, 350 € 
Chirie  apartament cu 1 cameră botanica str. sarmizegetusa 300 €,, 300 € 
Chirie  apartament cu 1 cameră Centru str. Nicolae Testemițanu 350 €,, 350 € 
"Chirie, Centru, Lev Tolstoi, 1 cameră, 350 euro!",, 350 € 
"Chirie, Centru, Malldova, 1 cameră, 270 euro!",, 270 € 
Garsoniera cu mobila cu toate comoditati,, 1 200 MDL 
1-комнатная квартира в хорошем состоянии,, 1 500 MDL 
Apartament cu o camera in stare buna se da in chirie,, 1 500 MDL 
Малосемейка с хорошими условиями,, 1 600 MDL 
1-комнатная квартира в хорошем состоянии,, 1 700 MDL 
Dau in chirie apartament in bloc nou! Reparatie euro! Toate conditiile! Practic este tot!,, Negociabil 
Сдам 1 квартиру,, 260 € 
"Urgent  se da in chirie apartament  cu o camera  59m2  , la botanica  , urgent  !!!",, 270 € 
"Chirie, Centru, Melestiu, 1 cameră, 230 euro!",, 230 € 
Dam in chirie apartament cu o camera. Apartament mobilat.str.Nicolae Costin 200 euro Не агентство!!!,, 200 € 
"Квартира полностью меблированная, есть всё! Автономное отопление",, 130 € 
"Apartament in centru, cu toate comoditatile, mobila, reparatie, tehnica, net",, 1 700 MDL 
Apartament cu o camera in stare buna se da in chirie,, 1 800 MDL 
Сдам малосемейку с удобствами 1400 леев,, 1 400 MDL 
"Chirie, Buiucani, Parcul Dendrarium, 1 cameră, 270 euro!",, 270 € 
"Chirie, Centru, Parcul Valea Trandafirilor, 1 cameră, 450 euro!",, 450 € 
"Chirie, Botanica, Valea Trandafirilor, 1 cameră, 230 euro!",, 230 € 
"Apartament 1camera, Buiucani,linga uzina Alfa,170,nu e agentie",, 170 € 
"Chirie, Botanica, Grenoble, 1 cameră, 250 euro!",, 250 € 
"Chirie, Centru, Malldova, 1 cameră, 300 euro!",, 300 € 
"Chirie, sect. Centru, 1 cameră, 220 euro!",, 220 € 
"Chirie! Bloc nou! str. Ion Neculce, Buiucani, 1 cameră! Euroreparație!",, 280 € 
1 комн. квартира на Буюканах  140 евро,, 140 € 
"Chirie, Centru, Malldova, 1 cameră, 270 euro!",, 270 € 
Сдается просторная 1-комнатная квартира!,, 250 € 
"Chirie, Centru, Lev Tolstoi, 1 cameră, 350 euro!",, 350 € 
Chirie. Bloc nou. Dacia/Cuza Voda. Apartament 1 Camera. 280 €. Proprietar.,, 280 € 
Bloc nou. Chirie. Dacia/Cuza Voda. Apartament.1 Camera. 290 €. Proprietar.,, 290 € 
Urjent o odae din 2 cu balcon propriu se incide la cee.Este tot.Linga Linela.,, 90 € 
"Apartament  -pe ore 97 lei/h,  -noaptea de la ora 18.00+ 3h gratis pina la 9.00 la 377 lei,  -zilnic",, 257 € 
Сдам 1-ую квартиру в центре города возле UNIC,, 200 € 
